id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
usd-coin,USDC,USDC,1.0,77877214617.89182,2217960949.387215,2026-05-11 02:40:25
solana,SOL,Solana,95.3559342176,55093673390.74046,3567249594.9315066,2026-05-11 02:40:25
tron,TRX,TRON,0.34986,33165937118.17184,393797432.7247946,2026-05-11 02:40:25
steth,STETH,Lido Staked ETH,2346.29,20564078281.061325,5494416.822162725,2026-05-11 02:40:25
dogecoin,DOGE,Dogecoin,0.1098699999999999,18666744143.717243,1141282803.9305496,2026-05-11 02:40:25
bitcoin,BTC,Bitcoin,81204.50999999998,1626372290344.5295,24945274377.585056,2026-05-12 02:33:28
ethereum,ETH,Ethereum,2312.35,279069500086.9936,10217754786.533728,2026-05-12 02:33:28
tether,USDT,Tether USDt,0.99985,189663141609.22668,583230314.4679099,2026-05-12 02:33:28
xrp,XRP,XRP,1.4647,90512931103.1692,1951373295.911564,2026-05-12 02:33:28
binance-coin,BNB,BNB,662.49,89294117265.04771,1035192952.098426,2026-05-12 02:33:28
usd-coin,USDC,USDC,1.0001,77496833930.22035,4566751895.798017,2026-05-12 02:33:28
solana,SOL,Solana,96.47,55748185239.29281,3586177632.5469856,2026-05-12 02:33:28
tron,TRX,TRON,0.3501,33188710316.540157,414809509.55310726,2026-05-12 02:33:28
steth,STETH,Lido Staked ETH,2312.28,20274854183.147514,6282571.06716308,2026-05-12 02:33:28
dogecoin,DOGE,Dogecoin,0.111,18860084717.05028,986297923.2742712,2026-05-12 02:33:28
bitcoin,BTC,Bitcoin,81063.21,1623575474243.52,25540779426.419548,2026-05-13 02:39:47
ethereum,ETH,Ethereum,2295.47,277031915015.023,10211707354.317879,2026-05-13 02:39:47
tether,USDT,Tether USDt,0.9999119054086536,189813471434.24323,576901089.1636239,2026-05-13 02:39:47
binance-coin,BNB,BNB,679.053181539608,91526566759.23523,970930550.3244607,2026-05-13 02:39:47
xrp,XRP,XRP,1.4491,89548909989.48761,1711248250.9923224,2026-05-13 02:39:47
usd-coin,USDC,USDC,1.0,77146215630.3913,3331150965.2217436,2026-05-13 02:39:47
solana,SOL,Solana,95.2957,55069717044.14505,2547128029.53852,2026-05-13 02:39:47
tron,TRX,TRON,0.34925,33108203013.54567,487573631.5664418,2026-05-13 02:39:47
steth,STETH,Lido Staked ETH,2292.3501157084934,20084837168.99751,6039308.39444774,2026-05-13 02:39:47
dogecoin,DOGE,Dogecoin,0.1111499999999999,17140733422.548836,862950485.8582957,2026-05-13 02:39:47
bitcoin,BTC,Bitcoin,79631.573,1594937749617.226,37101076386.41093,2026-05-14 02:40:32
ethereum,ETH,Ethereum,2261.48,272929506479.4992,9969970806.011772,2026-05-14 02:40:32
tether,USDT,Tether USDt,0.99968,189755868095.09464,476594486.6519886,2026-05-14 02:40:32
binance-coin,BNB,BNB,674.2199,90875076606.56128,1006551009.8508255,2026-05-14 02:40:32
xrp,XRP,XRP,1.4309,88424218690.19238,1842916534.066808,2026-05-14 02:40:32
